IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,速度(MB/s)
172.64.154.50,2052,FALSE,HKG,亚太,香港,35 ms,11367 kB/s,11.1
104.20.192.50,2052,FALSE,SJC,北美洲,圣何塞,191 ms,11322 kB/s,11.06
104.16.208.50,2052,FALSE,SJC,北美洲,圣何塞,192 ms,11319 kB/s,11.05
118.163.128.81,13688,TRUE,TPE,亚太,台北,93 ms,11270 kB/s,11.01
104.19.176.50,2052,FALSE,SJC,北美洲,圣何塞,192 ms,11238 kB/s,10.97
104.17.154.89,443,TRUE,HKG,亚太,香港,38 ms,11216 kB/s,10.95
38.59.245.159,41697,TRUE,IAD,北美洲,阿什本,166 ms,11179 kB/s,10.92
172.64.149.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,11106 kB/s,10.85
104.17.153.92,443,TRUE,HKG,亚太,香港,47 ms,11106 kB/s,10.85
104.17.155.204,443,TRUE,HKG,亚太,香港,44 ms,10937 kB/s,10.68
104.18.45.50,2052,FALSE,HKG,亚太,香港,36 ms,10934 kB/s,10.68
172.64.238.50,2052,FALSE,MAD,欧洲,马德里,253 ms,10857 kB/s,10.6
104.21.224.50,2052,FALSE,SEA,北美洲,西雅图,180 ms,10800 kB/s,10.55
38.47.115.89,34237,TRUE,LAX,北美洲,洛杉矶,163 ms,10785 kB/s,10.53
34.105.49.234,80,FALSE,SEA,北美洲,西雅图,179 ms,10695 kB/s,10.44
104.17.217.110,443,TRUE,HKG,亚太,香港,34 ms,10688 kB/s,10.44
154.40.32.107,33721,TRUE,LAX,北美洲,洛杉矶,167 ms,10668 kB/s,10.42
104.21.208.50,2052,FALSE,SJC,北美洲,圣何塞,179 ms,10590 kB/s,10.34
8.218.52.115,2086,FALSE,HKG,亚太,香港,39 ms,10564 kB/s,10.32
104.18.176.50,2052,FALSE,SEA,北美洲,西雅图,178 ms,10444 kB/s,10.2
18.168.114.50,443,TRUE,LHR,欧洲,伦敦,235 ms,10407 kB/s,10.16
80.251.218.249,443,TRUE,LAX,北美洲,洛杉矶,182 ms,10384 kB/s,10.14
104.18.192.50,2052,FALSE,SJC,北美洲,圣何塞,133 ms,10367 kB/s,10.12
172.64.236.50,2052,FALSE,MAD,欧洲,马德里,260 ms,10348 kB/s,10.11
34.82.188.91,443,TRUE,SEA,北美洲,西雅图,188 ms,10342 kB/s,10.1
172.64.155.50,2052,FALSE,HKG,亚太,香港,35 ms,10336 kB/s,10.09
80.251.219.120,14105,TRUE,LAX,北美洲,洛杉矶,174 ms,10335 kB/s,10.09
89.208.242.140,22767,TRUE,LAX,北美洲,洛杉矶,172 ms,10298 kB/s,10.06
35.178.96.204,8443,TRUE,LHR,欧洲,伦敦,244 ms,10279 kB/s,10.04
104.17.147.183,443,TRUE,HKG,亚太,香港,36 ms,10279 kB/s,10.04
192.9.165.253,47580,TRUE,SYD,大洋洲,悉尼,161 ms,10271 kB/s,10.03
61.81.65.183,10002,TRUE,ICN,亚太,首尔,118 ms,10243 kB/s,10
218.147.177.196,10243,TRUE,ICN,亚太,首尔,86 ms,10230 kB/s,9.99
8.218.156.91,8880,FALSE,HKG,亚太,香港,41 ms,10106 kB/s,9.87
8.218.156.91,2053,TRUE,HKG,亚太,香港,42 ms,10048 kB/s,9.81
35.236.55.171,443,TRUE,LAX,北美洲,洛杉矶,166 ms,9970 kB/s,9.74
104.27.192.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,9941 kB/s,9.71
95.164.88.214,23352,TRUE,LHR,欧洲,伦敦,179 ms,9933 kB/s,9.7
104.24.64.50,2052,FALSE,SJC,北美洲,圣何塞,191 ms,9867 kB/s,9.64
104.17.213.166,443,TRUE,HKG,亚太,香港,34 ms,9867 kB/s,9.64
104.17.161.59,443,TRUE,HKG,亚太,香港,34 ms,9853 kB/s,9.62
118.163.128.81,25593,TRUE,KHH,亚太,高雄,99 ms,9787 kB/s,9.56
104.17.218.47,443,TRUE,HKG,亚太,香港,33 ms,9772 kB/s,9.54
47.243.179.249,2082,FALSE,HKG,亚太,香港,40 ms,9737 kB/s,9.51
104.17.224.50,2052,FALSE,SEA,北美洲,西雅图,181 ms,9732 kB/s,9.5
104.17.191.236,443,TRUE,HKG,亚太,香港,34 ms,9715 kB/s,9.49
45.159.51.137,15043,TRUE,BKK,亚太,曼谷,59 ms,9710 kB/s,9.48
104.17.148.188,443,TRUE,HKG,亚太,香港,35 ms,9628 kB/s,9.4
34.82.76.253,80,FALSE,SEA,北美洲,西雅图,186 ms,9610 kB/s,9.38
172.64.158.50,2052,FALSE,HKG,亚太,香港,35 ms,9609 kB/s,9.38
45.66.128.148,15280,TRUE,NRT,亚太,东京,67 ms,9583 kB/s,9.36
146.56.151.254,32900,TRUE,ICN,亚太,首尔,53 ms,9566 kB/s,9.34
13.57.206.173,443,TRUE,SJC,北美洲,圣何塞,196 ms,9533 kB/s,9.31
172.64.157.50,2052,FALSE,HKG,亚太,香港,35 ms,9419 kB/s,9.2
47.243.179.249,443,TRUE,HKG,亚太,香港,41 ms,9419 kB/s,9.2
38.59.249.192,55000,TRUE,SJC,北美洲,圣何塞,138 ms,9369 kB/s,9.15
34.82.76.253,443,TRUE,SEA,北美洲,西雅图,201 ms,9355 kB/s,9.14
47.242.171.94,2052,FALSE,HKG,亚太,香港,40 ms,9349 kB/s,9.13
162.159.34.50,2052,FALSE,SEA,北美洲,西雅图,183 ms,9335 kB/s,9.12
20.194.221.36,25410,TRUE,NRT,亚太,东京,122 ms,9303 kB/s,9.08
104.17.169.244,443,TRUE,HKG,亚太,香港,35 ms,9269 kB/s,9.05
